Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.61,symmetric,0.4588211642800645
100% Corpus,7,0.9099999999999999,0.01,0.47187413006376755
100% Corpus,7,0.9099999999999999,0.31,0.5020296254245672
100% Corpus,7,0.9099999999999999,0.61,0.5073716062404313
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4833648590033001
100% Corpus,7,0.9099999999999999,symmetric,0.47813247189792146
100% Corpus,7,symmetric,0.01,0.3917248917388471
100% Corpus,7,symmetric,0.31,0.4148507344570448
100% Corpus,7,symmetric,0.61,0.4064385668759093
100% Corpus,7,symmetric,0.9099999999999999,0.42984055260593595
100% Corpus,7,symmetric,symmetric,0.40101070242329656
100% Corpus,7,asymmetric,0.01,0.4306056480000392
100% Corpus,7,asymmetric,0.31,0.492527733350095
100% Corpus,7,asymmetric,0.61,0.487920344418585
100% Corpus,7,asymmetric,0.9099999999999999,0.4895227690491305
100% Corpus,7,asymmetric,symmetric,0.41251433021926837
100% Corpus,8,0.01,0.01,0.4040084908390842
100% Corpus,8,0.01,0.31,0.47957269177340084
100% Corpus,8,0.01,0.61,0.47394452837412343
100% Corpus,8,0.01,0.9099999999999999,0.49040482867672464
100% Corpus,8,0.01,symmetric,0.3945391344961184
100% Corpus,8,0.31,0.01,0.4399760819849788
100% Corpus,8,0.31,0.31,0.38650806496011514
100% Corpus,8,0.31,0.61,0.4383000453953604
100% Corpus,8,0.31,0.9099999999999999,0.4450621483396684
100% Corpus,8,0.31,symmetric,0.392641786742713
100% Corpus,8,0.61,0.01,0.47316875260809754
100% Corpus,8,0.61,0.31,0.45787382224592416
100% Corpus,8,0.61,0.61,0.47478885465541515
100% Corpus,8,0.61,0.9099999999999999,0.43831865496726174
100% Corpus,8,0.61,symmetric,0.4621901581745233
100% Corpus,8,0.9099999999999999,0.01,0.4494870533371307
100% Corpus,8,0.9099999999999999,0.31,0.5361279682396212
100% Corpus,8,0.9099999999999999,0.61,0.5192754472099543
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5233199066088827
100% Corpus,8,0.9099999999999999,symmetric,0.48068163666717106
100% Corpus,8,symmetric,0.01,0.4021705178116063
100% Corpus,8,symmetric,0.31,0.37845696013136043
100% Corpus,8,symmetric,0.61,0.4079974177016633
100% Corpus,8,symmetric,0.9099999999999999,0.4868155162983626
100% Corpus,8,symmetric,symmetric,0.37264016644179565
